# Composite modified Lane-Emden RSG profile (cgs)
# Ptot=Pgas+Erad/3; gravity is positive inward and fixed in the pgen
# columns: r_cm rho_g_cm3 ptot_dyn_cm2 T_K pgas_dyn_cm2 erad_erg_cm3 menv_g grav_cm_s2 n_poly kappa_eq_cm2_g
# Mstar_Msun=1.0000000000000000e+01 Rstar_Rsun=5.1000000000000000e+02 mu=6.2000000000000000e-01
# Mcore_g=1.9884700000000002e+33 hsoft_cm=1.7740350000000000e+12
# n_inner=3.0000000000000000e+00 n_outer=1.4900000000000000e+00 transition=6.9999999999999996e-01 transition_width=1.4999999999999999e-01
# luminosity_Lsun=1.0000000000000000e+04 heat_radius_fraction=2.0000000000000001e-01
3.5480700000000000e+05 6.3931231190630898e-05 5.7102559624519148e+09 6.2200860788918054e+05 5.3327590176132145e+09 1.1324908345161009e+09 1.1961295396039600e+13 9.6303614173694137e-05 2.9998664870354714e+00 6.3102233650232471e+01
3.5640663580394251e+05 6.3931231190630898e-05 5.7102559624519148e+09 6.2200860788918054e+05 5.3327590176132145e+09 1.1324908345161009e+09 1.2123807210236463e+13 9.6737795881724883e-05 2.9998664870353910e+00 6.3102233650233323e+01
3.5801348351380939e+05 6.3931231190630776e-05 5.7102559624518948e+09 6.2200860788917961e+05 5.3327590176131964e+09 1.1324908345160942e+09 1.2288526986771793e+13 9.7173935083845668e-05 2.9998664870353102e+00 6.3102233650234076e+01
3.5962757564424345e+05 6.3931231190630667e-05 5.7102559624518948e+09 6.2200860788918054e+05 5.3327590176131954e+09 1.1324908345161009e+09 1.2455484724065762e+13 9.7612040605354745e-05 2.9998664870352294e+00 6.3102233650235348e+01
3.6124894485647889e+05 6.3931231190630559e-05 5.7102559624518738e+09 6.2200860788917937e+05 5.3327590176131763e+09 1.1324908345160923e+09 1.2624710828111277e+13 9.8052121311339083e-05 2.9998664870351481e+00 6.3102233650235874e+01
3.6287762395900209e+05 6.3931231190630559e-05 5.7102559624518738e+09 6.2200860788917937e+05 5.3327590176131763e+09 1.1324908345160923e+09 1.2796236118011453e+13 9.8494186106853557e-05 2.9998664870350664e+00 6.3102233650236961e+01
3.6451364590821520e+05 6.3931231190630437e-05 5.7102559624518538e+09 6.2200860788917844e+05 5.3327590176131582e+09 1.1324908345160856e+09 1.2970091831592291e+13 9.8938243937101184e-05 2.9998664870349843e+00 6.3102233650237693e+01
3.6615704380910343e+05 6.3931231190630328e-05 5.7102559624518538e+09 6.2200860788917937e+05 5.3327590176131563e+09 1.1324908345160923e+09 1.3146309631091672e+13 9.9384303787614146e-05 2.9998664870349017e+00 6.3102233650238894e+01
3.6780785091590468e+05 6.3931231190630220e-05 5.7102559624518337e+09 6.2200860788917844e+05 5.3327590176131401e+09 1.1324908345160856e+09 1.3324921608925604e+13 9.9832374684435620e-05 2.9998664870348191e+00 6.3102233650239739e+01
3.6946610063278256e+05 6.3931231190630098e-05 5.7102559624518337e+09 6.2200860788917937e+05 5.3327590176131372e+09 1.1324908345160923e+09 1.3505960293532846e+13 1.0028246569430236e-04 2.9998664870347360e+00 6.3102233650241033e+01
